month,year,day_of_year,revisit_gap_hours
2,2018,50,0.0
2,2018,55,119.99222194444444
2,2018,55,0.0
3,2018,60,119.99666694444444
3,2018,60,0.0
3,2018,65,119.98388888888888
3,2018,65,0.0
3,2018,75,239.97777749999997
3,2018,75,0.0
3,2018,80,119.99111138888888
3,2018,80,0.0
3,2018,85,120.00055527777778
3,2018,90,119.98277805555556
3,2018,90,0.0
4,2018,95,119.9977775
4,2018,95,0.0
4,2018,100,119.99944472222222
4,2018,100,0.0
4,2018,105,120.00055527777778
4,2018,105,0.0
4,2018,110,119.99944472222222
4,2018,110,0.0
4,2018,115,120.02277694444444
4,2018,115,0.0
4,2018,120,119.97722305555556
4,2018,120,0.0
5,2018,125,120.00055472222222
5,2018,125,0.0
5,2018,130,119.99944527777778
5,2018,130,0.0
5,2018,135,120.00055472222222
5,2018,135,0.0
5,2018,140,119.99944527777778
5,2018,140,0.0
5,2018,145,120.00055472222222
5,2018,145,0.0
5,2018,150,119.99944444444444
5,2018,150,0.0
6,2018,155,120.00055555555556
6,2018,155,0.0
6,2018,160,119.99944444444444
6,2018,160,0.0
6,2018,165,120.00055555555556
6,2018,165,0.0
6,2018,170,119.99944444444444
6,2018,170,0.0
6,2018,175,120.00055555555556
6,2018,175,0.0
6,2018,180,119.99944444444444
6,2018,180,0.0
7,2018,185,120.02277777777778
7,2018,185,0.0
7,2018,190,120.03
7,2018,190,0.0
7,2018,195,119.94777777777776
7,2018,195,0.0
7,2018,200,119.99944444444444
7,2018,200,0.0
7,2018,205,120.00055555555556
7,2018,205,0.0
7,2018,210,119.99944444444444
7,2018,210,0.0
8,2018,215,120.00055555555556
8,2018,215,0.0
8,2018,220,119.99944444444444
8,2018,220,0.0
8,2018,225,120.00055555555556
8,2018,225,0.0
8,2018,230,119.99666666666668
8,2018,230,0.0
8,2018,235,120.00333333333332
8,2018,235,0.0
8,2018,240,120.03
8,2018,240,0.0
9,2018,245,119.97
9,2018,245,0.0
9,2018,250,120.02166666666666
9,2018,250,0.0
9,2018,255,119.98388888888888
9,2018,255,0.0
9,2018,260,120.00777777777778
9,2018,260,0.0
9,2018,265,120.01166666666668
9,2018,265,0.0
9,2018,270,120.00777777777778
9,2018,270,0.0
10,2018,275,120.01166666666668
10,2018,275,0.0
10,2018,280,120.00777777777778
10,2018,280,0.0
10,2018,285,120.01166666666668
10,2018,285,0.0
10,2018,290,120.00777777777778
10,2018,290,0.0
