cloud_cover,month,year,day_of_year,revisit_gap_hours
99.832392,1,2019,25,119.99388888888888
98.45101,1,2019,25,0.0
0.159104,1,2019,30,119.99222222222222
0.224369,1,2019,30,0.0
99.996079,2,2019,40,239.98333333333332
99.985958,2,2019,40,0.0
99.275921,2,2019,45,119.99388888888888
99.959721,2,2019,45,0.0
99.999999,2,2019,50,119.98944444444444
99.999996,2,2019,50,0.0
0.595669,2,2019,55,119.99111111111112
0.59201,2,2019,55,0.0
100.0,3,2019,60,119.98944444444444
100.0,3,2019,60,0.0
2.921803,3,2019,65,119.99111111111112
7.236045,3,2019,65,0.0
99.999956,3,2019,70,119.98944444444444
99.711041,3,2019,70,0.0
7.373805,3,2019,75,119.98833333333332
28.675866,3,2019,75,0.0
0.19567,3,2019,80,119.99222222222222
0.141401,3,2019,80,0.0
1.973574,3,2019,85,119.99111111111112
2.406856,3,2019,85,0.0
0.775996,3,2019,90,119.98944444444444
2.137535,3,2019,90,0.0
95.965127,4,2019,95,119.99666666666668
74.717833,4,2019,95,0.0
89.343773,4,2019,100,120.00055555555556
73.600551,4,2019,100,0.0
4.634359,4,2019,105,120.00222222222222
0.984199,4,2019,105,0.0
0.305162,4,2019,110,119.99777777777778
0.180592,4,2019,110,0.0
0.583164,4,2019,115,120.00222222222222
17.260118,4,2019,115,0.0
98.878116,4,2019,120,120.00055555555556
98.07365,4,2019,120,0.0
20.542571,5,2019,125,119.99944444444444
16.146267,5,2019,125,0.0
68.355455,5,2019,130,120.00055555555556
86.73957,5,2019,130,0.0
0.308689,5,2019,135,119.99944444444444
0.723346,5,2019,135,0.0
94.669785,5,2019,140,119.99777777777778
89.213317,5,2019,140,0.0
30.560807,5,2019,145,120.00222222222222
65.517439,5,2019,145,0.0
1.091359,5,2019,150,119.99777777777778
0.554773,5,2019,150,0.0
95.289417,6,2019,155,120.00222222222222
98.185704,6,2019,155,0.0
38.158151,6,2019,160,119.99777777777778
91.700917,6,2019,160,0.0
86.589168,6,2019,165,120.00222222222222
72.802652,6,2019,165,0.0
18.763408,6,2019,170,120.00055555555556
28.708686,6,2019,170,0.0
0.493592,6,2019,175,119.99944444444444
2.086062,6,2019,175,0.0
2.592095,6,2019,180,120.00055555555556
3.66398,6,2019,180,0.0
43.011853,7,2019,185,119.99944444444444
38.202613,7,2019,185,0.0
12.715176,7,2019,190,120.00055555555556
7.817234,7,2019,190,0.0
47.054154,7,2019,195,119.99944444444444
59.115654,7,2019,195,0.0
0.374627,7,2019,200,120.00055555555556
0.988268,7,2019,200,0.0
8.241605,7,2019,205,119.99944444444444
1.22281,7,2019,205,0.0
5.125535,7,2019,210,120.00055555555556
52.982887,7,2019,210,0.0
84.155776,8,2019,215,119.99944444444444
94.160545,8,2019,215,0.0
92.990589,8,2019,220,120.00055555555556
99.088602,8,2019,220,0.0
74.69855,8,2019,225,119.99944444444444
97.37544,8,2019,225,0.0
24.679546,8,2019,230,119.99777777777778
54.18627,8,2019,230,0.0
98.681496,8,2019,235,120.00222222222222
23.508312,8,2019,240,119.99777777777778
2.862026,9,2019,245,119.99944444444444
1.724149,9,2019,245,0.0
0.243821,9,2019,250,120.00055555555556
0.125475,9,2019,250,0.0
15.615776,9,2019,255,120.00222222222222
5.693459,9,2019,255,0.0
6.430163,9,2019,260,120.01166666666668
2.87665,9,2019,260,0.0
90.341778,9,2019,265,120.01055555555556
93.403555,9,2019,265,0.0
0.282833,9,2019,270,120.00888888888888
0.132497,9,2019,270,0.0
8.93055,10,2019,275,120.01055555555556
1.084193,10,2019,275,0.0
0.250261,10,2019,280,120.01166666666668
0.136491,10,2019,280,0.0
